,buySpread,sellSpread,bestSpotPrice,spotAvgPrice,bestFuturePrice,futreAvgPrice,spotSlippage,futureSlippage,outOfRange_S,outOfRange_F
60,0.0,0.6319024423134612,39450.71,39463.61190254494,39700.0,39700.0,0.03270385385950699,0.0,False,False
61,-0.3849082877669101,0.0,39669.19,39602.4519638252,39516.5,39554.429544426916,0.16823644792041398,0.09598406849522484,False,False
62,-0.24361088834752767,0.0,39653.4,39611.22316875726,39556.8,39566.01499785081,0.10636371973839522,0.02329560998566516,False,False
63,-0.3508324168043471,0.0,39651.41,39618.30632951509,39512.3,39514.134713135245,0.08348674229973221,0.004643397461656382,False,False
64,-0.6948388907082803,0.0,39665.31,39657.57713016641,39389.7,39487.02281933987,0.01949529660447408,0.24707682297624867,False,False
65,-0.804679941954212,0.0,39692.8,39684.9431537843,39373.4,39400.32929305,0.01979413449216343,0.06839463457563084,False,False
66,-0.876618126848949,0.0,39704.86,39701.02168746871,39356.8,39370.90294863073,0.009667110100099293,0.03583357547039057,False,False
67,-0.9849215795367355,0.0,39757.48,39740.397817102705,39365.9,39365.9,0.04296595985786443,0.0,False,False
68,-0.8702248478828294,0.0,39785.12,39762.20095125501,39438.9,39438.9,0.057607087134576844,0.0,False,False
69,-0.701816052436185,0.0,39772.53,39763.91774937557,39493.4,39508.49934866924,0.021653766115528154,0.03823258739242172,False,False
70,-0.5088602767487451,0.0,39751.58,39748.838853821646,39549.3,39593.550962825626,0.006895691135687809,0.11188810630181314,False,False
71,-0.387569912268294,0.0,39783.79,39782.51160702364,39629.6,39634.70006606934,0.0032133514086036537,0.012869335217461031,False,False
72,-0.3389162026293246,0.0,39756.14,39748.95583180427,39621.4,39640.96095790078,0.01807058782801929,0.04936967876142592,False,False
73,-0.3023414847363922,0.0,39716.68,39687.46516748336,39596.6,39605.39528983473,0.07355809326620898,0.022212234976559768,True,False
74,0.0,0.22997292819504186,39661.19,39669.928384992614,39752.4,39735.508430522044,0.022032583975951873,0.04249194885832576,False,False
75,0.0,0.24860991154452491,39632.37,39638.02064513492,39730.9,39728.105311982545,0.014257651346411061,0.00703404155822494,False,False
76,0.0,0.229848043076447,39500.01,39504.8818330121,39590.8,39582.689330153866,0.01233375133853723,0.020486248942019787,False,False
77,-0.23131369918842656,0.0,40092.74,40081.979748966995,40000.0,40000.0,0.0268384027457426,0.0,False,False
78,0.0,0.24209444987747403,40554.42,40563.60680390611,40652.6,40642.461211275484,0.022653027477913017,0.024940074495886113,False,False
79,-0.22504340612537124,0.0,40841.01,40827.368003626885,40749.1,40750.174255465376,0.033402691003765216,0.0026362679553095995,False,False
